product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,parturient montes nascetur,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,754.16,22.4,clothing,Eayo,379,Mauv,small,3.7,2011-09-25,3.8,258,id lobortis convallis tortor,3.6,877,free,22.57
2,iaculis justo,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,234.75,17.52,electronics,Mydeo,940,Orange,small,4.2,2011-07-21,3.8,586,pede,4.8,51,express,39.55
3,magna at nunc commodo,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",511.22,34.85,home decor,Feedfish,900,Green,small,7.0,2018-07-06,3.9,545,primis in faucibus orci,3.7,711,express,21.72
4,diam erat fermentum,Sed vel enim sit amet nunc viverra dapibus.,124.25,6.45,electronics,Abata,331,Yellow,large,3.9,2022-11-05,1.8,578,nulla,4.8,32,express,13.5
5,a suscipit nulla,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",294.71,24.85,clothing,Twiyo,205,Teal,small,8.7,2015-04-05,3.0,344,magnis dis parturient montes nascetur ridiculus,4.4,274,standard,24.61
6,ipsum primis in,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",389.16,30.62,home decor,Meedoo,915,Violet,small,6.0,2020-01-12,3.3,498,praesent lectus vestibulum,4.3,717,free,38.58
7,etiam vel augue vestibulum,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",582.58,26.95,toys,Snaptags,649,Purple,large,2.3,2018-08-09,2.1,849,urna,2.2,319,free,13.64
8,hac habitasse platea dictumst,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",866.19,44.15,clothing,Browsetype,787,Violet,small,8.2,2016-08-02,4.5,221,est congue elementum,3.4,856,express,37.24
9,congue vivamus,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,227.49,21.31,toys,Wordware,30,Khaki,medium,9.4,2016-12-29,1.4,185,ut,3.5,180,standard,1.23
10,ultrices posuere,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",137.72,13.38,home decor,Youfeed,324,Turquoise,large,6.6,2014-01-23,2.1,363,nibh fusce,2.1,255,free,21.9
11,mi integer ac neque,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",392.5,35.05,clothing,Topiclounge,892,Purple,extra large,1.8,2022-10-22,3.2,326,sed augue,3.0,702,free,8.36
12,vestibulum proin eu mi,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,645.76,21.21,beauty,Oodoo,559,Yellow,small,7.5,2018-07-06,1.2,145,faucibus accumsan odio curabitur convallis duis,4.5,489,free,30.97
13,iaculis diam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",964.76,4.82,home decor,Minyx,426,Maroon,small,3.8,2012-12-29,2.1,893,leo odio porttitor id,4.2,981,standard,49.36
14,metus arcu adipiscing molestie,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",114.63,33.86,home decor,Mybuzz,521,Blue,medium,1.4,2022-05-17,3.9,454,nulla nunc,2.7,90,free,27.72
15,scelerisque quam turpis,Aliquam sit amet diam in magna bibendum imperdiet.,848.81,33.13,electronics,Twitterbridge,349,Crimson,large,2.9,2021-03-12,2.2,766,ipsum primis in faucibus,4.7,698,express,40.25
16,in quis justo maecenas,Ut at dolor quis odio consequat varius.,756.88,30.67,home decor,Fliptune,442,Red,medium,9.8,2015-11-22,2.1,814,ante ipsum primis in faucibus orci,2.4,773,standard,36.64
17,cubilia curae,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",783.82,11.1,clothing,Wikizz,649,Violet,small,9.0,2011-10-31,4.0,805,consequat varius integer ac leo,1.7,34,standard,48.82
18,in eleifend quam a,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,874.73,33.52,beauty,Trupe,981,Aquamarine,medium,3.8,2021-04-21,2.4,235,amet eros,2.0,784,express,6.61
19,id turpis integer,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",630.69,17.48,clothing,Voonte,137,Fuscia,small,0.4,2014-12-28,3.3,284,tempus vivamus in felis,2.0,395,standard,5.6
20,blandit non interdum in,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,246.0,4.52,electronics,Mita,409,Blue,small,9.6,2013-08-02,1.1,83,sed tincidunt,2.6,234,standard,40.72
